gene_key	entrez_gene_id	go_terms	go_bp	go_mf	go_cc
948894	948894	GO:0005737;GO:0008080;GO:0008999;GO:0016740;GO:0016746;GO:0016747;GO:0018393;GO:0061733	GO:0018393	GO:0008080;GO:0008999;GO:0016740;GO:0016746;GO:0016747;GO:0061733	GO:0005737
948899	948899	GO:0000166;GO:0002953;GO:0005737;GO:0008253;GO:0009222;GO:0009410;GO:0016787;GO:0016791;GO:0019859;GO:0030145;GO:0043100;GO:0046872	GO:0009222;GO:0009410;GO:0019859;GO:0043100	GO:0000166;GO:0002953;GO:0008253;GO:0016787;GO:0016791;GO:0030145;GO:0046872	GO:0005737
948897	948897	GO:0000166;GO:0003924;GO:0005515;GO:0005525;GO:0005737;GO:0005829;GO:0006412;GO:0006415;GO:0006449;GO:0016149;GO:0016150;GO:0019003;GO:0097216;GO:1990145	GO:0006412;GO:0006415;GO:0006449;GO:1990145	GO:0000166;GO:0003924;GO:0005515;GO:0005525;GO:0016149;GO:0016150;GO:0019003;GO:0097216	GO:0005737;GO:0005829
948895	948895	GO:0005515;GO:0006972;GO:0030288;GO:0042597	GO:0006972	GO:0005515	GO:0030288;GO:0042597
1450298	1450298	GO:0005886			GO:0005886
948906	948906	GO:0006629;GO:0006974;GO:0016042;GO:0016787	GO:0006629;GO:0006974;GO:0016042	GO:0016787	
2847741	2847741	GO:0005515;GO:0005829;GO:0016787;GO:0016788;GO:0046872		GO:0005515;GO:0016787;GO:0016788;GO:0046872	GO:0005829
948905	948905	GO:0003824;GO:0005515;GO:0016491;GO:0046872;GO:0051536;GO:0051539		GO:0003824;GO:0005515;GO:0016491;GO:0046872;GO:0051536;GO:0051539	
948904	948904	GO:0005515;GO:0009061	GO:0009061	GO:0005515	
948902	948902	GO:0004139;GO:0005737;GO:0005829;GO:0006018;GO:0006974;GO:0009264;GO:0015949;GO:0016020;GO:0016052;GO:0016829;GO:0046386	GO:0006018;GO:0006974;GO:0009264;GO:0015949;GO:0016052;GO:0046386	GO:0004139;GO:0016829	GO:0005737;GO:0005829;GO:0016020
948901	948901	GO:0004645;GO:0005829;GO:0006206;GO:0006213;GO:0006974;GO:0009032;GO:0016020;GO:0016154;GO:0016740;GO:0016757;GO:0016763;GO:0046104	GO:0006206;GO:0006213;GO:0006974;GO:0046104	GO:0004645;GO:0009032;GO:0016154;GO:0016740;GO:0016757;GO:0016763	GO:0005829;GO:0016020
948910	948910	GO:0000287;GO:0003824;GO:0005737;GO:0005829;GO:0006015;GO:0006018;GO:0006974;GO:0008973;GO:0009117;GO:0009264;GO:0016853;GO:0030145;GO:0043094;GO:0046872	GO:0006015;GO:0006018;GO:0006974;GO:0009117;GO:0009264;GO:0043094	GO:0000287;GO:0003824;GO:0008973;GO:0016853;GO:0030145;GO:0046872	GO:0005737;GO:0005829
945654	945654	GO:0003824;GO:0004731;GO:0005737;GO:0005829;GO:0006139;GO:0006152;GO:0006974;GO:0009116;GO:0009164;GO:0016020;GO:0016740;GO:0016757;GO:0016763;GO:0019686;GO:0042278;GO:0042802;GO:0047975	GO:0006139;GO:0006152;GO:0006974;GO:0009116;GO:0009164;GO:0019686;GO:0042278	GO:0003824;GO:0004731;GO:0016740;GO:0016757;GO:0016763;GO:0042802;GO:0047975	GO:0005737;GO:0005829;GO:0016020
944883	944883	GO:0003677;GO:0016301;GO:0016740;GO:0035821;GO:0090729	GO:0035821	GO:0003677;GO:0016301;GO:0016740;GO:0090729	
944865	944865	GO:0000166;GO:0005524;GO:0005737;GO:0005829;GO:0009249;GO:0016874;GO:0016979;GO:0017118	GO:0009249	GO:0000166;GO:0005524;GO:0016874;GO:0016979;GO:0017118	GO:0005737;GO:0005829
946089	946089				
948913	948913	GO:0000287;GO:0005737;GO:0006564;GO:0008652;GO:0016787;GO:0016791;GO:0036424;GO:0046872	GO:0006564;GO:0008652	GO:0000287;GO:0016787;GO:0016791;GO:0036424;GO:0046872	GO:0005737
948912	948912	GO:0000166;GO:0000725;GO:0003677;GO:0003684;GO:0003697;GO:0005524;GO:0006281;GO:0006974;GO:0008094;GO:0008270;GO:0009314;GO:0016787;GO:0046872;GO:0140664	GO:0000725;GO:0006281;GO:0006974;GO:0009314	GO:0000166;GO:0003677;GO:0003684;GO:0003697;GO:0005524;GO:0008094;GO:0008270;GO:0016787;GO:0046872;GO:0140664	
