aspect,go_id,count
BP,GO:0042836,2
BP,GO:0006399,2
BP,GO:0015756,2
BP,GO:0000096,2
BP,GO:0061504,2
BP,GO:0044355,2
BP,GO:0110155,2
BP,GO:0050779,2
BP,GO:0006304,2
BP,GO:0006014,2
BP,GO:0015797,2
BP,GO:0009446,2
BP,GO:0033388,2
BP,GO:0015727,2
BP,GO:0035873,2
BP,GO:0019346,2
BP,GO:0006654,2
BP,GO:0030541,2
BP,GO:2000145,2
BP,GO:1901276,2
BP,GO:0071467,2
BP,GO:0032329,2
BP,GO:0006064,2
BP,GO:0015695,2
BP,GO:0015804,2
BP,GO:0061818,2
BP,GO:0042558,2
BP,GO:0046836,2
BP,GO:0097054,2
BP,GO:0015739,2
BP,GO:0051252,2
BP,GO:0045717,2
BP,GO:0036376,2
BP,GO:0015980,2
BP,GO:0006487,2
BP,GO:0006047,2
BP,GO:0043094,2
BP,GO:1903806,2
BP,GO:0031638,2
BP,GO:0019878,2
BP,GO:0015710,2
BP,GO:0010960,2
BP,GO:0006835,2
BP,GO:0090540,2
BP,GO:0006426,2
BP,GO:0042843,2
BP,GO:0001514,2
BP,GO:0019518,2
BP,GO:0015853,2
BP,GO:0030153,2
BP,GO:0042875,2
BP,GO:0006271,2
BP,GO:0044787,2
BP,GO:0002926,2
BP,GO:0140018,2
BP,GO:0046034,2
BP,GO:0019303,2
BP,GO:0006532,2
BP,GO:0006780,2
BP,GO:0070716,2
BP,GO:0015693,2
BP,GO:0071267,2
BP,GO:0050667,2
BP,GO:0006785,2
BP,GO:0030164,2
BP,GO:0006555,2
BP,GO:0035344,2
BP,GO:0098710,2
BP,GO:1902599,2
BP,GO:0006646,2
BP,GO:0023019,2
BP,GO:0015744,2
BP,GO:0006018,2
BP,GO:0009264,2
BP,GO:0035433,1
BP,GO:0034620,1
BP,GO:0006771,1
BP,GO:0006747,1
BP,GO:0009398,1
BP,GO:0006428,1
BP,GO:0042454,1
BP,GO:0009064,1
BP,GO:1900751,1
BP,GO:1902270,1
BP,GO:0015879,1
BP,GO:1900749,1
BP,GO:0046655,1
BP,GO:0031427,1
BP,GO:0046452,1
BP,GO:0031118,1
BP,GO:0045944,1
BP,GO:0031507,1
BP,GO:0019321,1
BP,GO:0080090,1
BP,GO:0009750,1
BP,GO:0051258,1
BP,GO:0046067,1
BP,GO:0043107,1
BP,GO:0034213,1
BP,GO:0015828,1
BP,GO:0006086,1
BP,GO:0019595,1
BP,GO:0006178,1
BP,GO:0043101,1
BP,GO:0046100,1
BP,GO:0043633,1
BP,GO:0071047,1
BP,GO:0009891,1
BP,GO:0110052,1
